iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy,dataset,attack_type
49,9.728169599007803,4.38980208031743,7.117865248388204,4.57462549838046,8.002350554661808,0.6713609129776255,0.610989048257757,PubMed,fg_betweenness
50,10.347229439273665,4.558132117611267,7.2657118694202385,5.03959434547453,8.148452624943708,0.6594648040303628,0.6162547803701746,PubMed,fg_betweenness
51,10.423230632389956,4.244881203405358,7.1204531466503465,5.015022192441521,8.477350644174757,0.6581745197986756,0.6053973108875923,PubMed,fg_betweenness
52,10.952113413502008,4.125790713688956,6.793157011087756,4.755362517955991,8.909744332807549,0.6482618987670596,0.6021833228132236,PubMed,fg_betweenness
53,10.70949689141956,4.410925638255281,6.966958402604571,4.604795890457408,9.165667560341333,0.6441044122375558,0.5946514140985418,PubMed,fg_betweenness
54,11.184974661113221,4.59312666188992,7.054701919779177,4.977640671110414,9.1781202801219,0.64096656635221,0.5822975398938212,PubMed,fg_betweenness
55,11.72393364294576,4.7716421077145394,6.873121122436071,4.801373275948775,9.606451899750914,0.6383005913707784,0.5915200002915076,PubMed,fg_betweenness
56,11.664008319906838,4.985172810122793,7.238490504836362,5.052999235887453,9.354770216166948,0.6306652156279022,0.5860606750674403,PubMed,fg_betweenness
57,11.993369484286026,5.3293488324991465,7.172469561514609,4.723014459209945,9.031597161802829,0.6280477625812719,0.5678918656420489,PubMed,fg_betweenness
58,12.62387644273349,5.5987139045652965,6.871834854587695,4.752112403588513,8.878235403940034,0.6144912044911888,0.5650580914388801,PubMed,fg_betweenness
59,12.469450988018599,5.573140170159284,7.297310084608913,4.428553960101185,9.281844450015152,0.6172328473780119,0.5731818085751244,PubMed,fg_betweenness
60,12.968244413656452,6.1461439862021,7.704544066570761,4.821175757379225,9.59837789176122,0.6015815181604143,0.5637978466638645,PubMed,fg_betweenness
