iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy,dataset,attack_type
27,4.584180750202142,2.281713419211429,6.015840867055842,4.1613859243646925,3.7431392445202727,0.7813942718862992,0.7305844019817573,PubMed,random
28,4.691631174491676,2.414515423486617,6.2438346696900355,4.411309270808376,4.404088447512732,0.777582546970295,0.7282219404707204,PubMed,random
29,4.9864481450542835,2.7088648812729934,6.49566513868332,4.322957936191888,4.2179399668746616,0.7618175451545122,0.7227573445109817,PubMed,random
30,4.902901163214004,2.632795020113655,6.33487871804419,4.8862862110731555,4.017374736478994,0.7594968794333663,0.7098014558972043,PubMed,random
31,4.611926114140824,3.299248047598487,6.384200916339603,5.469818511665141,3.993658432033227,0.7546448957121313,0.7131551355194056,PubMed,random
32,4.336071310478922,3.531169898283855,6.065142167221732,5.457476526320348,3.6938947113039444,0.7524432655577464,0.7039128061745035,PubMed,random
33,4.21367597709904,3.5997723743702124,6.450232850319115,5.461227911950298,3.4125374695411526,0.7560540359404696,0.6944037833436323,PubMed,random
34,4.39891131398349,3.455023280904327,6.638986189574042,5.836138617382245,3.8927946336256025,0.7439047935957275,0.6922681032420005,PubMed,random
35,4.982601058585757,3.3484414248638625,7.121498199907325,6.121453382633165,4.332376304413658,0.7354829519282354,0.684969224201709,PubMed,random
36,5.253979712013622,3.1238526581218125,6.913498010264304,6.262956664260539,4.0887702151783145,0.7357764404488712,0.6804528651346529,PubMed,random
37,5.755944895960386,3.3144584647094977,6.882741078678548,5.952911840815716,4.679399944598744,0.7225305161600215,0.6759569074081925,PubMed,random
38,6.016700916430271,3.14356999283382,6.996993782862241,6.331179255999926,5.029581240590618,0.7291408198685185,0.6622588773072415,PubMed,random
39,5.766966372917466,3.4758649241953257,7.36086143430963,6.276674682161843,4.7827104941738625,0.7239499472881128,0.6686550703040249,PubMed,random
40,6.07213696623404,3.556334544539422,7.3444913274000445,6.432757851750493,4.843499156499454,0.7048705650413201,0.6660946609129264,PubMed,random
41,6.575174811636545,3.236717182588807,7.684382095826958,6.700533719511096,5.423592489172022,0.7134911859160099,0.6549424102694656,PubMed,random
42,6.659276006451035,3.824641008368137,7.719017193241222,6.425702621625605,5.53654349627491,0.7025873054546753,0.648135364052215,PubMed,random
43,6.980950932738678,3.6874198162514378,7.8698214033919704,6.497973897222581,5.411930286089655,0.6971350883350708,0.6474108253102391,PubMed,random
44,6.8557776580094245,3.523460495612606,7.66521418064007,6.825038621288518,5.6260904153322,0.6840667060233336,0.6380584589214998,PubMed,random
45,7.297257490433405,3.4757100085663257,8.134661300477713,6.965777588716766,5.6097346144405105,0.6794387020587911,0.6263612124856175,PubMed,random
46,7.775818251886256,4.033498994154445,8.575549943022718,6.9041682620750935,5.88129960720547,0.6746541379367818,0.6400309850785343,PubMed,random
47,7.693378240823544,4.29176866098754,8.506409772468231,7.298897871281364,6.550320447949505,0.6762307683433026,0.6304568007424932,PubMed,random
48,8.134494135979818,4.26821884161054,9.001936148652259,7.164912408641048,6.390575443160274,0.6654580509021684,0.6145673872890716,PubMed,random
49,8.543743277768785,4.730087957552931,8.850212754643078,7.352188521430421,6.343484995580276,0.6701385019139741,0.6115819689368814,PubMed,random
50,9.068287295670743,4.778411380525371,8.617045383173275,7.5475676562152785,6.262601415721388,0.6536503609822044,0.6057936692086152,PubMed,random
51,9.19023049105563,4.465901977281136,8.446210283310899,7.751974051882071,6.691658117941893,0.6482758459441998,0.6084518012289465,PubMed,random
52,9.513816085150317,4.944989472423203,8.233745786382562,7.50186175868707,7.1749254915405745,0.6580155867661907,0.6084494605146107,PubMed,random
53,9.93521639048916,5.571878833112153,8.241883799713865,8.112554507136641,7.62703538662907,0.645892800055757,0.5998815533957224,PubMed,random
54,10.439790185099035,5.9438872170713495,8.549431700371395,8.45041275663742,7.684266209247788,0.6456341895309129,0.5930539019480667,PubMed,random
55,10.2225325683141,6.241023897567443,8.944562558752889,8.569168639452618,7.9958153308584325,0.6271657458215723,0.5934564713388577,PubMed,random
56,10.34121824455185,6.550179376014745,9.28434644666122,9.103375838107354,8.664610454287228,0.6373975264549231,0.5801766951989596,PubMed,random
57,10.149456078106246,6.467603541551766,9.065258349610836,9.369843070863652,9.319476436831877,0.6312362317722093,0.569473663565573,PubMed,random
58,10.412649506653189,7.015494439501375,9.139560606163561,9.621585483591398,9.123994449849985,0.611798125502337,0.5796435436391887,PubMed,random
59,10.52598229484843,7.490424796345648,9.36126170737025,10.154542278805907,8.980239747195156,0.6149719804769456,0.5628653943160528,PubMed,random
60,10.80764608926723,7.525239172646476,9.930111578390154,10.319184948758936,9.253671531426248,0.6197252889066417,0.5558336978501797,PubMed,random
